Author,Target,Description,Attack,Target Class,Attack Class,Link,Tags,Day,Month,Year,AttackGroup,AttackEncoded,AttackClassEncoded,TargetClassGroup,TargetClassEncoded,Africa,Asia,Australia,Europe,North America,South America,AuthorKnown
Iranian Hacker,Texas Department of Agriculture,"The Texas Department of Agriculture is hit with a cyberattack that defaces its website with an image of Gen. Qassem Soleimani, the top Iranian commander who was killed in a U.S. strike the previous week.",Defacement,"O Public administration and defence, compulsory social security",CW,thehill.com,"Texas Department of Agriculture, Qassem Soleimani, Iranian Hacker",6,1,2020,Defacement,4,2,Public Sector/ Government,12,0,0,0,0,1,0,1
SideWinder APT Group,Military entities,"Researchers from Trend Micro discover the first example of a malicious app in the Google Play Market, exploiting the recently patched CVE-2019-2215 zero-day vulnerability.",Targeted attack,"O Public administration and defence, compulsory social security",CE,securityaffairs.co,"Trend Micro, Google Play Market, CVE-2019-2215",6,1,2020,Targeted Attack,12,1,Public Sector/ Government,12,0,0,0,0,1,0,1
?,Canyon,"Canyon announces it was struck by a ""massive cyber attack"" over the Christmas break by a ""professionally organized group"".",Unknown,C Manufacturing,CC,pinkbike.com,Canyon,6,1,2020,Unknown,13,0,Manufacturing/ Energy,8,0,0,0,1,0,0,0
?,Focus Camera,Researchers from Juniper Threat Labs reveal that the website of popular photography and imaging retailer Focus Camera got hacked late in December 2019 by MageCart attackers to inject malicious code that stole customer payment card details.,Malware,G Wholesale and retail trade,CC,bleepingcomputer.com,"Focus Camera, Magecart, Juniper Threat Labs",6,1,2020,Malware,8,0,Retail Trade,14,0,0,0,0,1,0,0
?,Single Individuals,"Researchers from Fortinet discover a new campaign of the ""Predator the Thief"" malware.",Malware,X Individual,CC,zdnet.com,"Fortinet, Predator the Thief",6,1,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Multiple targets,UK Security Researcher Kevin Beaumont warns that the attackers behind REvil ransomware (AKA Sodinokibi) are now targeting unpatched Pulse Secure VPN servers,Vulnerability,Y Multiple Industries,CC,zdnet.com,"Kevin Beaumont, Revil, Sodinokibi, Pulse Secure, CVE-2019-11510",6,1,2020,Vulnerability Exploitation,14,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Pittsburg Unified School District,Students in the Pittsburg Unified School District of Pennsylvania are left without internet access as the result of a ransomware attack.,Malware,P Education,CC,infosecurity-magazine.com,Pittsburg Unified School District,6,1,2020,Malware,8,0,Education,2,0,0,0,0,1,0,0
?,Hamden Schools,Public schools in Hamden are taken down by a malware attack.,Malware,P Education,CC,nhregister.com,Hamden Schools,6,1,2020,Malware,8,0,Education,2,0,0,0,0,1,0,0
?,Wallace State Community College,The Wallace State Community College is hit by a cyber attack.,Malware,P Education,CC,govtech.com,Wallace State Community College,6,1,2020,Malware,8,0,Education,2,0,0,0,0,1,0,0
?,City of Las Vegas,The City of Las Vegas is hit by a cyber attack via a malicious email.,Targeted attack,"O Public administration and defence, compulsory social security",CC,infosecurity-magazine.com,City of Las Vegas,7,1,2020,Targeted Attack,12,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,"Unpatched routers (D-Link, Netgear, and Linksys)","Researchers from BitDefender reveal the details of LiquorBot, a cryptomining botnet attacking unpatched routers since at least May 2019",Vulnerability,Y Multiple Industries,CC,bleepingcomputer.com,"BitDefender, LiquorBot, CVE-2015-2051, CVE-2016-1555, CVE-2016-6277, Crypto",7,1,2020,Vulnerability Exploitation,14,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Single Individuals,A new phishing campaign tries to take advantage of the Iran cyber attack scare.,Account Hijacking,X Individual,CC,bleepingcomputer.com,Iran,7,1,2020,Account Hijacking,1,0,Multiple Industries,9,0,0,0,0,1,0,0
Master X,Multiple targets,Researchers from AppRiver reveal that a hacker with the handle “Master X” is leveraging a PowerShell script that contains a reference to singer-songwriter Drake lyric’s “Kiki Do You Love Me” to deliver either the Lokibot info stealer or Azorult remote access trojan.,Malware,Y Multiple Industries,CC,threatpost.com,"AppRiver, Master X, Drake, Lokibot, Azorult",7,1,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,1
?,Enloe Medical Center,Enloe Medical Center is hit by a ransomware attack that causes the hospital to reschedule some elective procedures.,Malware,Q Human health and social work activities,CC,databreaches.net,"Enloe Medical Center, ransomware",7,1,2020,Malware,8,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,City of Bend,The City of Bend is the latest victim of the Click2Gov breach.,Malware,"O Public administration and defence, compulsory social security",CC,databreaches.net,City of Bend,7,1,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,US financial entity,"The FBI says that unidentified threat actors have used the CVE-2019-11510 Pulse Secure VPN flaw ""to exploit a notable US financial entity’s research network since August 2019.",Vulnerability,K Financial and insurance activities,CC,bleepingcomputer.com,"FBI, CVE-2019-11510, Pulse Secure VPN",8,1,2020,Vulnerability Exploitation,14,0,Financial Services,4,0,0,0,0,1,0,0
?,US municipal government,The FBI says that also a US municipal government was breached via the CVE-2019-11510 Pulse Secure VPN flaw.,Vulnerability,"O Public administration and defence, compulsory social security",CC,bleepingcomputer.com,"FBI, CVE-2019-11510, Pulse Secure VPN",8,1,2020,Vulnerability Exploitation,14,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,Well-known personalities in Korea,"A recent report from South Korean media claims that Samsung Galaxy smartphones of many well-known personalities in Korea were hacked. According to the report, the hacker extorts cash from its victims. If the victim fails to pay the ransom, the hacker threatens to disclose all data.",Account Hijacking,X Individual,CC,gizchina.com,"Samsung, South Korea",8,1,2020,Account Hijacking,1,0,Multiple Industries,9,0,1,0,0,0,0,0
?,Multiple targets,Security researchers observe ongoing scans for Citrix Application Delivery Controller (NetScaler ADC) and Citrix Gateway (NetScaler Gateway) servers vulnerable to attacks exploiting CVE-2019-19781.,Vulnerability,Y Multiple Industries,CC,bleepingcomputer.com,"Citrix, NetScaler ADC, Citrix Gateway, CVE-2019-19781",8,1,2020,Vulnerability Exploitation,14,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Multiple targets,A new ransomware called Snake emerges in the threat landscape.,Malware,Y Multiple Industries,CC,bleepingcomputer.com,"Snake, Ransomware",8,1,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
Lazarus Group,Cryptocurrency businesses,"Researchers from Kaspersky reveal the details of a new wave of attacks linked to Operation AppleJeus, and targeting cryptocurrency business in multiple countries including UK, Poland, Russia and China.",Targeted attack,V Fintech,CC,zdnet.com,"Kaspersky, Operation AppleJeus, Lazarus Group",8,1,2020,Targeted Attack,12,0,Financial Services,4,0,0,0,0,1,0,1
?,Firefox users,Mozilla warns Firefox users to update their browser to the latest version after security researchers found a vulnerability that hackers were actively exploiting in “targeted attacks” against users. The vulnerability is indexed as CVE-2019-17026.,Targeted attack,X Individual,CC,techcrunch.com,"Mozilla, Firefox",8,1,2020,Targeted Attack,12,0,Multiple Industries,9,0,0,0,0,1,0,0
Iranian state-sponsored hackers,Bapco,"Multiple sources reveal that Iranian state-sponsored hackers have deployed Dustman, a new strain of data-wiping malware on the network of Bapco, Bahrain's national oil company. The attack occurred on December 29, 2019.",Malware,D Electricity gas steam and air conditioning supply,CW,zdnet.com,"Dustman, Bapco, Iran",9,1,2020,Malware,8,2,Manufacturing/ Energy,8,0,1,0,0,0,0,1
?,Albany International Airport,Albany International Airport's staff announces that the New York airport's administrative servers were hit by Sodinokibi Ransomware following a cyberattack that took place over Christmas.,Malware,H Transportation and storage,CC,bleepingcomputer.com,"Albany International Airport, Ransomware, Sodinokibi",9,1,2020,Malware,8,0,Transportation,15,0,0,0,0,1,0,0
"Magnallium AKA APT33, Refined Kitten, or Elfin",American Electric Utilities,Researchers from Dragos reveal that a state-sponsored group affiliated to Iran called Magnallium has been probing American electric utilities for the past year.,Password-spraying,D Electricity gas steam and air conditioning supply,CW,wired.com,"Dragos, Iran, Magnallium, APT33, Refined Kitten, Elfin",9,1,2020,Account Hijacking,1,2,Manufacturing/ Energy,8,0,0,0,0,1,0,1
"Xenotyme, Dymalloy, Electrum",American Electric Utilities,The same report details the activities of three additional groups targeting the American Electric Utilities.,Targeted attack,D Electricity gas steam and air conditioning supply,CW,zdnet.com,"Xenotyme, Dymalloy, Electrum, Dragos",9,1,2020,Targeted Attack,12,2,Manufacturing/ Energy,8,0,0,0,0,1,0,1
?,Android users,"Google reveals to have removed roughly 1,700 applications infected with the Joker Android malware (also known as Bread) since the company started tracking it in early 2017.",Malware,X Individual,CC,bleepingcomputer.com,"Android, Bread, Joker, Google",9,1,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Multiple targets,A new ransomware dubbed Ako emerges in the threat landscape.,Malware,Y Multiple Industries,CC,bleepingcomputer.com,"Ako, Ransomware",9,1,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Multiple targets,"Researchers at Sentinel One reveal that the Russian-speaking cybercriminals behind the TrickBot malware have developed a stealthy backdoor dubbed “PowerTrick,” in order to infiltrate high-value targets.",Malware,Y Multiple Industries,CC,threatpost.com,"Sentinel One, TrickBot, PowerTrick",9,1,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,City of Dunwoody,The City of Dunwoody reveals to have been hit by a cyber attack during the Christmas Eve.,Malware,"O Public administration and defence, compulsory social security",CC,govtech.com,City of Dunwoody,9,1,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,btyDental,btyDental notifies patients after suffering a ransomware attack discovered on November 2019.,Malware,Q Human health and social work activities,CC,databreaches.net,"btyDental, ransomware",9,1,2020,Malware,8,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Bartlett Public Library District,"The Bartlett Public Library District’s computer systems recovers from a ransomware attack occurred on Saturday, November 30.",Malware,"O Public administration and defence, compulsory social security",CC,databreaches.net,"Bartlett Public Library District, ransomware",9,1,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,City of Dawson Creek,The City of Dawson Creek says its computer systems were hacked in an apparent ransomware attack.,Malware,"O Public administration and defence, compulsory social security",CC,databreaches.net,"Dawson Creek, Ransomware",9,1,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,Manor Independent School District,Manor Independent School District announces that email scammers had fleeced the District out of $2.3 million.,Business Email Compromise,P Education,CC,forbes.com,Manor Independent School District,10,1,2020,Social Engineering,10,0,Education,2,0,0,0,0,1,0,0
?,European websites for Perricone MD,Researchers from RapidSpike reveal that multiple european websites for the Perricone MD anti-aging skin-care brand have been compromised with scripts that steal customer payment card info when making a purchase.,Malware,G Wholesale and retail trade,CC,bleepingcomputer.com,"Perricone MD, RapidSpike, Magecart",10,1,2020,Malware,8,0,Retail Trade,14,0,0,0,0,1,0,0
?,Multiple targets in the US,The US Cybersecurity and Infrastructure Security Agency (CISA) alerts organizations to patch their Pulse Secure VPN servers as a defense against ongoing attacks trying to exploit the CVE-2019-11510 remote code execution (RCE) vulnerability.,Vulnerability,Y Multiple Industries,CC,bleepingcomputer.com,"US Cybersecurity and Infrastructure Security Agency, CISA, CVE-2019-11510, RCE",10,1,2020,Vulnerability Exploitation,14,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Website collecting donations for the victims of the Australia bushfires,"Researchers from Malwarebytes discover that attackers compromised a website collecting donations for the victims of the Australia bushfires and injected ATMZOW, a malicious script that steals the payment information of the donors.",Malware,Q Human health and social work activities,CC,bleepingcomputer.com,"Magecart, Malwarebytes, ATMZOW",10,1,2020,Malware,8,0,Healthcare/ Social Services,5,0,0,1,0,0,0,0
?,Single Individuals,A malicious ad campaign is underway in Google Search results that leads users to fake Amazon support sites and tech support scams.,Search Engine Poisoning,X Individual,CC,bleepingcomputer.com,"Google Search, Amazon",10,1,2020,Exploitation of Infrastructure,6,0,Multiple Industries,9,0,0,0,0,1,0,0
?,High-profile Facebook pages,"Facebook addresses a security issue that exposed page admin accounts, after the bug was exploited in attacks in the wild against several high-profile pages.",Vulnerability,X Individual,CC,securityaffairs.co,Facebook,10,1,2020,Vulnerability Exploitation,14,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Android users,"Researchers from Malwarebytes discover that the UMX U686CL, an Android phone subsidized by the US government for low-income users comes preinstalled with malware (Android/Trojan.HiddenAds.WRACT).",Malware,X Individual,CC,arstechnica.com,"Malwarebytes, UMX U686CL, Android, Android/Trojan.HiddenAds.WRACT",10,1,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Boing Boing,The popular Boing Boing blog is hacked by an unknown party who plants malicious code into the site’s WordPress theme. Users visiting the site from desktop computers are redirected to a fake download page for an Adobe Flash update.,Account Hijacking,J Information and communication,CC,grahamcluley.com,"Boing Boing, Adobe Flash",10,1,2020,Account Hijacking,1,0,Information/ Communication,7,0,0,0,0,1,0,0
?,The Center for Facial Restoration,"The Center for Facial Restoration reveals to have been victim of hack back in November 2019, with the attackers threatening to release the patients' data.",Unknown,Q Human health and social work activities,CC,infosecurity-magazine.com,The Center for Facial Restoration,10,1,2020,Unknown,13,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Los Angeles County,"Los Angeles County confirms it was the target of a phishing attack last month, which staff detected and contained before it exposed any county resident data.",Account Hijacking,P Education,CC,govtech.com,Los Angeles County,10,1,2020,Account Hijacking,1,0,Education,2,0,0,0,0,1,0,0
?,Android users,"Researchers from Kaspersky reveal that an Android malware, dubbed Trojan-Dropper.AndroidOS.Shopper.a, camouflaged as a system app is used by threat actors to disable the Google Play Protect service, generate fake reviews, install malicious apps, show ads, and more.",Malware,X Individual,CC,bleepingcomputer.com,"Kaspersky, Android, Trojan-Dropper.AndroidOS.Shopper.a, Google Play Protect",11,1,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Multiple targets,"Researchers from Cofense reveal that after almost a three-week holiday vacation, the Emotet trojan is back and targeting the over eighty countries with malicious spam campaigns.",Malware,X Individual,CC,bleepingcomputer.com,"Cofense, Emotet",13,1,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,UNIX Systems,"The security team at npm takes down a malicious package, discovered by the Microsoft Vulnerability Research team and named 1337qq-js, caught stealing sensitive information from UNIX systems.",Malware,Y Multiple Industries,CC,zdnet.com,"npm, Microsoft Vulnerability Research team, 1337qq-js,UNIX",13,1,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Android users,An Android banking Trojan dubbed Faketoken has recently been observed by security researchers from Kaspersky while draining its victims' accounts to fuel offensive mass text campaigns targeting mobile devices from all over the world.,Malware,K Financial and insurance activities,CC,bleepingcomputer.com,"Android, Faketoken, Kaspersky",13,1,2020,Malware,8,0,Financial Services,4,0,0,0,0,1,0,0
?,Account receivable specialists,Researchers from Agari discover a new group called Ancient Tortoise targeting accounts receivable specialists tricking them into sending over aging reports and thus collecting info on customers they can scam in later attack stages.,Business Email Compromise,K Financial and insurance activities,CC,bleepingcomputer.com,"Agari, Ancient Tortoise",13,1,2020,Social Engineering,10,0,Financial Services,4,0,0,0,0,1,0,0
?,Company in the medical tech sector,Researchers from Guardicore reveal the details of an attack targeting a company in the medical tech sector via a malware hiding its modules in WAV audio files and spreading to vulnerable Windows 7 machines on the network via EternalBlue.,Malware,C Manufacturing,CC,bleepingcomputer.com,"Guardicore, WAV, EternalBlue, Crypto",13,1,2020,Malware,8,0,Manufacturing/ Energy,8,0,0,0,0,1,0,0
Fancy Bear AKA APT28,Burisma,"Researchers from Area 1 reveal that Russian spies from GRU are suspected of trying to hack into Burisma, the Ukrainian gas company with whom Hunter Biden worked.",Targeted attack,D Electricity gas steam and air conditioning supply,CE,forbes.com,"Area 1, Burisma, GRU, Hunter Biden, Russia, APT28, Fancy Bear",14,1,2020,Targeted Attack,12,1,Manufacturing/ Energy,8,0,0,0,1,0,0,1
Omnichorus,LimeLeads,49 million user records extracted from a misconfigured Elasticsearch database by US data broker LimeLeads are put up for sale online.,Misconfiguration,M Professional scientific and technical activities,CC,zdnet.com,"Elasticsearch, LimeLeads, Omnichorus",14,1,2020,Exploitation of Infrastructure,6,0,Information/ Communication,7,0,0,0,0,1,0,1
?,Single Individuals,The cybercrime group behind Satan ransomware and other malware seems to be involved in the development of a new ransomware named 5ss5c.,Malware,X Individual,CC,securityaffairs.co,"Satan, ransomware, 5ss5c",14,1,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Single Individuals,"Researchers from Bitdefender discover 17 Google Play apps that, once installed, start hiding their presence on the user’s device and constantly display aggressive ads.",Malware,X Individual,CC,arstechnica.com,"Bitdefender, Google Play",14,1,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,New Mexico Public Regulation Commission,"The New Mexico Public Regulation Commission is ""hacked by an outside source""",Unknown,"O Public administration and defence, compulsory social security",CC,govtech.com,New Mexico Public Regulation Commission,14,1,2020,Unknown,13,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,United Nations,The United Nations is hit by a cyberattack through the malware Emotet.,Malware,U Activities of extraterritorial organizations and bodies,CC,techradar.com,"United Nations,Emotet",15,1,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,P&N‌ Bank,"P&N‌ Bank in Western Australia informs its customers that hackers may have accessed personal information stored on its systems following a cyber attack on December 12, during an upgrade at a third-party hosting company.",Unknown,K Financial and insurance activities,CC,bleepingcomputer.com,P&N‌ Bank,15,1,2020,Unknown,13,0,Financial Services,4,0,0,1,0,0,0,0
?,PlanetDrugsDirect,"Canadian online pharmacy PlanetDrugsDirect emails customers, notifying them of a data security incident that might have impacted some of their sensitive personal and financial information. 400,000 individuals are potentially compromised.",Unknown,Q Human health and social work activities,CC,bleepingcomputer.com,PlanetDrugsDirect,15,1,2020,Unknown,13,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Single Individuals,"An emergent and effective data-harvesting tool dubbed Oski is proliferating in North America and China, stealing online account credentials, credit-card numbers, cryptowallet accounts and more.",Malware,X Individual,CC,threatpost.com,Oski,15,1,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Twitter account of former Australian cricket coach Darren Lehmann,The Twitter account of former Australian cricket coach Darren Lehmann is hacked by a Donald Trump supporter.,Account Hijacking,X Individual,H,sportingnews.com,"Twitter, Darren Lehmann, Donald Trump",6,1,2020,Account Hijacking,1,3,Multiple Industries,9,0,0,1,0,0,0,0
?,Kuwait State News Agency,Kuwait state news agency says its Twitter was hacked to spread misinformation about US withdrawal.,Account Hijacking,J Information and communication,H,theverge.com,Kuwait State News Agency,8,1,2020,Account Hijacking,1,3,Information/ Communication,7,0,1,0,0,0,0,0
?,PIH Health,"PIH Health notifies almost 200,000 patients whose protected health information was in employee email accounts that were compromised.",Account Hijacking,Q Human health and social work activities,CC,databreaches.net,PIH Health,10,1,2020,Account Hijacking,1,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Panama-Buena Vista Union School,Panama-Buena Vista Union School District is hit with a ransomware attack.,Malware,P Education,CC,databreaches.net,"Panama-Buena Vista Union School, ransomware",10,1,2020,Malware,8,0,Education,2,0,0,0,0,1,0,0
Anonymous Iran,City of Ozark,Hackers from Anonymous Iran claim to have defaced the website of city of Ozark.,Defacement,"O Public administration and defence, compulsory social security",H,wtvy.com,"Anonymous Iran, City of Ozark",10,1,2020,Defacement,4,3,Public Sector/ Government,12,0,0,0,0,1,0,1
?,St. Louis Community College,"More than 5,100 St. Louis Community College students and employees have their personal information accessed via a phishing scam.",Account Hijacking,P Education,CC,databreaches.net,St. Louis Community College,13,1,2020,Account Hijacking,1,0,Education,2,0,0,0,0,1,0,0
?,Town of Colonie,The Albany County town of Colonie is hit by a cyber-attack that takes the town's computer system and email offline.,Unknown,"O Public administration and defence, compulsory social security",CC,infosecurity-magazine.com,Town of Colonie,15,1,2020,Unknown,13,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,Vulnerable Citrix Systems,"Researchers from FireEye discover a malicious actor deploying a previously-unseen payload called NOTROBIN on vulnerable Citrix Systems. The actor cleans up known malware and deploys NOTROBIN to block subsequent exploitation attempts, establishing a backdoor for subsequent campaigns.",Vulnerability,Y Multiple Industries,CC,fireeye.com,"FireEye, NOTROBIN, Citrix, CVE-2019-19781",16,1,2020,Vulnerability Exploitation,14,0,Multiple Industries,9,0,0,0,0,1,0,0
TA542,"Pharmaceutical companies in the US, Canada and Mexico","Researchers from Proofpoint discover a new Emotet campaign targeting pharmaceutical companies in the US, Canada and Mexico",Malware,M Professional scientific and technical activities,CC,zdnet.com,"Proofpoint, Emotet",16,1,2020,Malware,8,0,Information/ Communication,7,0,0,0,0,1,0,1
?,Targets in Middle East,"Researchers from Cisco Talos discover a new campaign selectively attacking targets in Middle East via a Remote Access Trojan (RAT), dubbed JhoneRAT, and abusing cloud services.",Targeted attack,Y Multiple Industries,CE,zdnet.com,"Cisco Talos, RAT, JhoneRAT",16,1,2020,Targeted Attack,12,1,Multiple Industries,9,0,0,0,0,1,0,0
?,Multiple targets,Researchers from Zscaler discover a new version of the FTCODE ransomware with password-stealing capabilities.,Malware,Y Multiple Industries,CC,zdnet.com,"Zscaler, FTCODE, ransomware",16,1,2020,Malware,8,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Rudolf and Stephanie Hospital in Benešov,The Rudolf and Stephanie Hospital in Benešov is hit with a Ryuk ransomware attack.,Malware,Q Human health and social work activities,CC,radio.cz,"The Rudolf and Stephanie Hospital, Benešov, Ryuk, Ransomware",16,1,2020,Malware,8,0,Healthcare/ Social Services,5,0,0,0,1,0,0,0
?,Georgia election server (Center for Election Systems at Kennesaw State University),Forensic evidence shows signs that a Georgia election server may have been hacked ahead of the 2016 and 2018 elections by someone who exploited Shellshock.,Vulnerability,"O Public administration and defence, compulsory social security",CC,arstechnica.com,"Georgia, Shellshock, Center for Election Systems at Kennesaw State University",16,1,2020,Vulnerability Exploitation,14,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,US Government and Military,A new research from Cisco Talos discover a new Emotet campaign affecting the United States of America's government and military.,Malware,"O Public administration and defence, compulsory social security",CC,infosecurity-magazine.com,"Talos, Emotet",16,1,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,City of Detroit,The City of Detroit officials warn data breach exposed city workers and residents after several email accounts were compromised.,Account Hijacking,"O Public administration and defence, compulsory social security",CC,databreaches.net,City of Detroit,16,1,2020,Account Hijacking,1,0,Public Sector/ Government,12,0,0,0,0,1,0,0
?,Multiple targets,"Microsoft publishes a security advisory containing mitigation measures for CVE-2020-0674, an actively exploited zero-day remote code execution (RCE) vulnerability impacting Internet Explorer.",Targeted attack,Y Multiple Industries,CC,bleepingcomputer.com,"Microsoft, CVE-2020-0674",17,1,2020,Targeted Attack,12,0,Multiple Industries,9,0,0,0,0,1,0,0
Phoenix’s Helmets (Anka Neferler Tim),Several Greek government websites,"Several Greek government websites are taken down by Turkish hackers. Targets include the Greek Parliament, the Foreign Affairs Ministry, the Athens Stock Exchange, the National Intelligence Service (EYP) and the Finance Ministry.",DDoS,"O Public administration and defence, compulsory social security",H,greece.greekreporter.com,"Phoenix’s Helmets, Anka Neferler Tim",17,1,2020,Denial of Service,5,3,Public Sector/ Government,12,0,0,0,1,0,0,1
?,ADP Users,"In proximity of the tax season, cybercriminals launch a phishing campaign targeting some ADP users.",Account Hijacking,X Individual,CC,darkreading.com,ADP,17,1,2020,Account Hijacking,1,0,Multiple Industries,9,0,0,0,0,1,0,0
?,Sunset Cardiology,Sunset Cardiology is hit with a Maze ransomware attack.,Malware,Q Human health and social work activities,CC,databreaches.net,"Sunset Cardiology, Maze, ransomware",17,1,2020,Malware,8,0,Healthcare/ Social Services,5,0,0,0,0,1,0,0
?,Temple Har Shalom Synagogue,The Temple Har Shalom Synagogue is hit with a Sodinokibi Ransomware attack.,Malware,U Activities of extraterritorial organizations and bodies,CC,bleepingcomputer.com,"Temple Har Shalom Synagogue, Sodinokibi, Ransomware",18,1,2020,Malware,8,0,Public Sector/ Government,12,0,0,0,0,1,0,0
Anonymous Greece,Top Channel 24 TV,Anonymous Greece responds to the ongoing attacks of Turkish hackers by attacking the Turkish channel Top Channel 24 TV.,DDoS,J Information and communication,H,en.protothema.gr,"Anonymous Greece, Top Channel 24 TV",18,1,2020,Denial of Service,5,3,Information/ Communication,7,0,0,0,1,0,0,1
